cluster,Student skills,Student badges,Student bonus,Student quizzes,Student posts,Next Skills,Next badges,Next bonus,Next quizzes
3,[],"['00400211onechallenge:100.0', '00800611postonetypeofcreativeresult:100.0', '00700511sugestanewsubjectforyourpresentation:120.0', '00100111findonebugs:40.0', '00600411contributeforoneclass:100.0', '20400611posttwotypesofcreativeresults:60.0', '20500611postthree(ormore)typesofcreativeresults:40.0', '20100711maketwentyposts:70.0', '20701111maketwocontributions:170.0', '01100811performonetask:40.0', '20600211threechallenges:70.0', '20200711makethirtyposts:30.0', '02801811betherefor50%oflectures:40.0', '00200111findthreebugs:30.0', '02701711readslidesfor50%oflectures:100.0', '01000411contributefortwoclasses:60.0', '00300111findfivebugs:10.0', '20000411contributeforthreeclasses:30.0', '21501111makethreecontributions:70.0', '21202011betherefor60%oflabs:40.0', '04001811betherefor75%oflectures:30.0', '04101711readslidesfor75%oflectures:70.0', '22209011Attendallinvitedlecturesatyourcampus:80.0']","['20308222AttendedQuiz:360.0', '20808322AttendedQuiz:360.0', '21008522AttendedQuiz:240.0', '21608722AttendedQuiz:480.0', '22008922AttendedQuiz:240.0']",[],[],[],"['07302011bethereforallofthelabs:10.0', '21100711makefiftyposts:10.0', '22109011Attendallinvitedlecturesatyourcampusandoneintheothercampus:20.0', '07001811bethereforallofthelectures:10.0', '08704011Havethehighestgradeinthepresentations:40.0', '22409011Attendallinvitedlecturesatbothcampii:20.0', '08203711createdownvideo,relevantedits:10.0', '01300811performtwotasks:30.0']",['22509222AttendedQuiz:480.0'],[]
2,[],"['00800611postonetypeofcreativeresult:100.0', '00400211onechallenge:100.0', '02801811betherefor50%oflectures:40.0', '00100111findonebugs:40.0', '02701711readslidesfor50%oflectures:100.0', '21202011betherefor60%oflabs:40.0', '04001811betherefor75%oflectures:30.0', '04101711readslidesfor75%oflectures:70.0', '22209011Attendallinvitedlecturesatyourcampus:80.0', '07302011bethereforallofthelabs:10.0']","['20308222AttendedQuiz:240.0', '20808322AttendedQuiz:360.0', '21008522AttendedQuiz:600.0', '21608722AttendedQuiz:480.0', '22008922AttendedQuiz:480.0']",[],[],[],"['07903611Havethehighestgradeinthelabs:40.0', '07803511handindocumentabouttherationalleofyourpresentation.:100.0', '07001811bethereforallofthelectures:10.0', '01100811performonetask:40.0']",['22509222AttendedQuiz:480.0'],[]
2,[],"['00100111findonebugs:40.0', '00400211onechallenge:100.0', '20400611posttwotypesofcreativeresults:60.0', '00200111findthreebugs:30.0', '00300111findfivebugs:10.0', '00600411contributeforoneclass:100.0', '01000411contributefortwoclasses:60.0', '02801811betherefor50%oflectures:40.0', '02701711readslidesfor50%oflectures:100.0', '21202011betherefor60%oflabs:40.0', '20701111maketwocontributions:170.0', '03902311beontime15times:40.0', '04101711readslidesfor75%oflectures:70.0']","['20308222AttendedQuiz:240.0', '20808322AttendedQuiz:240.0', '21008522AttendedQuiz:480.0', '21608722AttendedQuiz:360.0', '22008922AttendedQuiz:360.0']",[],[],[],"['07903611Havethehighestgradeinthelabs:40.0', '21501111makethreecontributions:70.0', '07001811bethereforallofthelectures:10.0', '07803511handindocumentabouttherationalleofyourpresentation.:100.0', '04201711readalllecturesslides:40.0', '20100711maketwentyposts:70.0']",['22509222AttendedQuiz:480.0'],[]
1,[],"['00700511sugestanewsubjectforyourpresentation:120.0', '02701711readslidesfor50%oflectures:100.0', '02801811betherefor50%oflectures:40.0', '04101711readslidesfor75%oflectures:70.0']","['20308222AttendedQuiz:480.0', '20808322AttendedQuiz:480.0', '21008522AttendedQuiz:240.0', '21608722AttendedQuiz:600.0', '22008922AttendedQuiz:120.0']",[],[],[],['08704011Havethehighestgradeinthepresentations:40.0'],[],[]
3,[],"['00200111findthreebugs:30.0', '01000411contributefortwoclasses:60.0', '00400211onechallenge:100.0', '20000411contributeforthreeclasses:30.0', '20100711maketwentyposts:70.0', '20400611posttwotypesofcreativeresults:60.0', '20500611postthree(ormore)typesofcreativeresults:40.0', '20600211threechallenges:70.0', '20200711makethirtyposts:30.0', '02801811betherefor50%oflectures:40.0', '02701711readslidesfor50%oflectures:100.0', '05303011topgradeintwogradedclasses:100.0', '21501111makethreecontributions:70.0', '21801111makefourcontributions:10.0', '03902311beontime15times:40.0', '21202011betherefor60%oflabs:40.0', '22209011Attendallinvitedlecturesatyourcampus:80.0', '21702011betherefor80%oflabs:30.0']","['20308222AttendedQuiz:480.0', '20808322AttendedQuiz:480.0', '21008522AttendedQuiz:480.0', '21608722AttendedQuiz:480.0', '22008922AttendedQuiz:480.0']",[],[],[],"['07903611Havethehighestgradeinthelabs:40.0', '07803511handindocumentabouttherationalleofyourpresentation.:100.0', '22409011Attendallinvitedlecturesatbothcampii:20.0', '21100711makefiftyposts:10.0', '01100811performonetask:40.0', '09204411Havethehighestgradeintheexams!:40.0']",['22509222AttendedQuiz:480.0'],[]
3,[],"['00800611postonetypeofcreativeresult:100.0', '00700511sugestanewsubjectforyourpresentation:120.0', '00400211onechallenge:100.0', '20400611posttwotypesofcreativeresults:60.0', '20600211threechallenges:70.0', '00600411contributeforoneclass:100.0', '20100711maketwentyposts:70.0', '02801811betherefor50%oflectures:40.0', '02701711readslidesfor50%oflectures:100.0', '00100111findonebugs:40.0', '00200111findthreebugs:30.0', '21702011betherefor80%oflabs:30.0', '04001811betherefor75%oflectures:30.0', '05303011topgradeintwogradedclasses:100.0', '04101711readslidesfor75%oflectures:70.0', '22209011Attendallinvitedlecturesatyourcampus:80.0']","['20308222AttendedQuiz:600.0', '20808322AttendedQuiz:600.0', '21008522AttendedQuiz:360.0', '21608722AttendedQuiz:600.0', '22008922AttendedQuiz:480.0']",[],[],[],"['21501111makethreecontributions:70.0', '07001811bethereforallofthelectures:10.0', '08003711remixedvideo:100.0', '20200711makethirtyposts:30.0', '01000411contributefortwoclasses:60.0', '04201711readalllecturesslides:40.0', '01100811performonetask:40.0']",['22509222AttendedQuiz:480.0'],[]
2,[],"['00700511sugestanewsubjectforyourpresentation:120.0', '00800611postonetypeofcreativeresult:100.0', '02801811betherefor50%oflectures:40.0', '21202011betherefor60%oflabs:40.0']","['20308222AttendedQuiz:240.0', '20808322AttendedQuiz:480.0', '21008522AttendedQuiz:480.0', '21608722AttendedQuiz:600.0']",[],[],[],"['21702011betherefor80%oflabs:30.0', '04001811betherefor75%oflectures:30.0', '07803511handindocumentabouttherationalleofyourpresentation.:100.0', '04101711readslidesfor75%oflectures:70.0', '01100811performonetask:40.0']",['22008922AttendedQuiz:600.0'],[]
3,[],"['00800611postonetypeofcreativeresult:100.0', '00700511sugestanewsubjectforyourpresentation:120.0', '00400211onechallenge:100.0', '00600411contributeforoneclass:100.0', '20500611postthree(ormore)typesofcreativeresults:40.0', '20701111maketwocontributions:170.0', '20100711maketwentyposts:70.0', '20600211threechallenges:70.0', '02801811betherefor50%oflectures:40.0', '01000411contributefortwoclasses:60.0', '00100111findonebugs:40.0', '21300211fivechallenges:10.0', '20200711makethirtyposts:30.0', '21702011betherefor80%oflabs:30.0', '04001811betherefor75%oflectures:30.0', '05303011topgradeintwogradedclasses:100.0', '04101711readslidesfor75%oflectures:70.0', '22209011Attendallinvitedlecturesatyourcampus:80.0']","['20308222AttendedQuiz:480.0', '20808322AttendedQuiz:600.0', '21008522AttendedQuiz:480.0', '21608722AttendedQuiz:360.0', '22008922AttendedQuiz:600.0']",[],[],[],"['21501111makethreecontributions:70.0', '07001811bethereforallofthelectures:10.0', '08003711remixedvideo:100.0', '04201711readalllecturesslides:40.0', '01100811performonetask:40.0']",['22509222AttendedQuiz:480.0'],[]
2,[],"['00800611postonetypeofcreativeresult:100.0', '00400211onechallenge:100.0', '00600411contributeforoneclass:100.0', '00700511sugestanewsubjectforyourpresentation:120.0', '20000411contributeforthreeclasses:30.0', '20400611posttwotypesofcreativeresults:60.0', '20500611postthree(ormore)typesofcreativeresults:40.0', '02801811betherefor50%oflectures:40.0', '20100711maketwentyposts:70.0', '21202011betherefor60%oflabs:40.0', '04101711readslidesfor75%oflectures:70.0', '21300211fivechallenges:10.0', '00100111findonebugs:40.0', '04001811betherefor75%oflectures:30.0']","['20308222AttendedQuiz:600.0', '20808322AttendedQuiz:360.0', '21008522AttendedQuiz:360.0', '21608722AttendedQuiz:600.0', '22008922AttendedQuiz:600.0']",[],[],[],"['05102311beontime17times:30.0', '08804111Havethehighestgradeinthequizzes:40.0', '07803511handindocumentabouttherationalleofyourpresentation.:100.0', '04201711readalllecturesslides:40.0', '01100811performonetask:40.0']",['22509222AttendedQuiz:600.0'],[]
2,[],"['00800611postonetypeofcreativeresult:100.0', '00700511sugestanewsubjectforyourpresentation:120.0', '00400211onechallenge:100.0', '02801811betherefor50%oflectures:40.0', '02701711readslidesfor50%oflectures:100.0', '20600211threechallenges:70.0']","['20308222AttendedQuiz:360.0', '20808322AttendedQuiz:360.0', '21008522AttendedQuiz:360.0', '21608722AttendedQuiz:600.0', '22008922AttendedQuiz:480.0']",[],[],[],"['03902311beontime15times:40.0', '07803511handindocumentabouttherationalleofyourpresentation.:100.0', '04001811betherefor75%oflectures:30.0', '01100811performonetask:40.0', '04201711readalllecturesslides:40.0']",['22509222AttendedQuiz:480.0'],[]
